# GitHub 仓库监控记录
# 关键词: warp masque / zerotrust masque / usque / aether masque / WarpScout
# 排序: Recently updated
# 格式: [记录时间] | 项目名 | 项目介绍 | 项目链接

[2026-09-18 13:37:38] | hidooch980/molidovpn-android | MolidoVPN for Android: native device-wide VPN (Kotlin + Rust) with MASQUE, WARP, AmneziaWG, V2Ray, Psiphon, Tor (AGPL-3.0) | https://github.com/hidooch980/molidovpn-android
[2026-09-18 13:37:38] | vernette/warpscout | 🛰️ Cloudflare WARP endpoint scanner - find working endpoints over wg/awg/masque and see the exit region and edge node they land on | https://github.com/vernette/warpscout
[2026-09-18 13:37:38] | mbm110/MSN-GUARD | High-performance Rust-powered Android VPN — Full-device tunneling via SHARD (Custom Protocol), MASQUE/HTTP-3, WireGuard, WARP-on-WARP, Psiphon, and Tor. | https://github.com/mbm110/MSN-GUARD
[2026-09-18 13:37:38] | KJGX66F/usque-custom-pro | 基于 Cloudflare WARP / MASQUE 的可视化注册、配置生成与多客户端转换工具。 生成、Clash/Mihomo 智能分流、Shadowrocket、sing-box、本地 VLESS 桥接，以及可选的 WARP 出口检测。 | https://github.com/KJGX66F/usque-custom-pro
[2026-09-18 13:37:38] | byJoey/warp-masque-actions | GitHub Actions 自动生成 Cloudflare WARP (MASQUE) 密钥与 mihomo 配置，产物只存 artifact | https://github.com/byJoey/warp-masque-actions
[2026-09-18 13:37:38] | Diniboy1123/usque | Open-source reimplementation of the Cloudflare WARP client's MASQUE protocol. | https://github.com/Diniboy1123/usque
[2026-09-18 13:37:38] | IHosseini083/aether-core-omarchy | An Omarchy status bar widget and popup panel for controlling the Aether tunnel — a userspace Cloudflare WARP client built by CluvexStudio for heavily censored networks. | https://github.com/IHosseini083/aether-core-omarchy
[2026-09-18 13:37:38] | callacat/warp-go | Cloudflare WARP client (MASQUE over QUIC/HTTP-3) with SOCKS5 frontend — auto-sync upstream + CI build & GHCR publish | https://github.com/callacat/warp-go
[2026-09-18 13:37:38] | CluvexStudio/Aether | A Rust userspace WARP core for censored networks, built around MASQUE over HTTP/3 and HTTP/2. | https://github.com/CluvexStudio/Aether
[2026-09-18 13:37:38] | bepass-org/oblivion-desktop | Oblivion Desktop - Unofficial Warp Client for Windows/Mac/Linux | https://github.com/bepass-org/oblivion-desktop
[2026-09-18 13:37:38] | RADINMNX2/MNX-GUARD | MNX GUARD — native Android VPN client (Aether Rust core, MASQUE/WireGuard/Tor/Xray/Psiphon) with network optimization. | https://github.com/RADINMNX2/MNX-GUARD
[2026-09-18 13:37:38] | wanwushequ/warp-masque-nav | WARP MASQUE 导航 | https://github.com/wanwushequ/warp-masque-nav
[2026-09-18 13:37:38] | gamerenzz/warpscout-tools | (无描述) | https://github.com/gamerenzz/warpscout-tools
[2026-09-18 13:37:38] | abapqlcm/AuroraVPN | AuroraVPN - Advanced Multi-Protocol VPN Client for Android (MASQUE/WireGuard/Gool) powered by Aether Core | https://github.com/abapqlcm/AuroraVPN
[2026-09-18 13:37:38] | billofreviewtalon675/Aether | Bypass network censorship with an encrypted SOCKS5 proxy using automated route discovery and MASQUE protocols for restricted environments. | https://github.com/billofreviewtalon675/Aether
[2026-09-18 13:37:38] | mlmvpn/mlmvpn_android | Multi-engine Android VPN & network-scanning app — Xray, AmneziaWG, Aether (MASQUE/WG/WARP-in-WARP), VPN Gate, DNS/game-latency booster, and sanction-domain routing, built with Kotlin + Jetpack Compose. / اپلیکیشن اندروید VPN و اسکنر شبکه چندموتوره | https://github.com/mlmvpn/mlmvpn_android
[2026-09-18 13:37:38] | GeorgeXie2333/usque-app | User-friendly cross-platform GUI for Cloudflare WARP client's MASQUE protocol. | https://github.com/GeorgeXie2333/usque-app
[2026-09-18 13:37:38] | Wiuvel/masqr | MASQUE/WARP tunnel core for Windows with dynamic routing, built-in DNS, and DPI-resistant handshakes | https://github.com/Wiuvel/masqr
[2026-09-18 13:37:38] | immaghzbad/AetherST | Advanced Multi-Protocol VPN Client for Android (MASQUE, WireGuard, Gool, Zero Trust) powered by Aether Core and HEV SOCKS5 engine. High performance, DPI circumvention, and modern UI. | https://github.com/immaghzbad/AetherST
[2026-09-18 13:37:38] | woshidadi2026/new-usque-custom-pro | (无描述) | https://github.com/woshidadi2026/new-usque-custom-pro
[2026-09-18 13:37:38] | songjiekris-dev/usque-custom-pro-t | (无描述) | https://github.com/songjiekris-dev/usque-custom-pro-t
[2026-09-18 13:37:38] | songjiekris-dev/usque-custom-pro | (无描述) | https://github.com/songjiekris-dev/usque-custom-pro
[2026-09-18 13:37:38] | cjh0613/warp-masque-actions | GitHub Actions 自动生成 Cloudflare WARP (MASQUE) 密钥与 mihomo 配置，产物只存 artifact | https://github.com/cjh0613/warp-masque-actions
[2026-09-18 13:37:38] | DenMc55/Warp-TV-Ultra | TV-focused Cloudflare WARP MASQUE for Android TV devices, | https://github.com/DenMc55/Warp-TV-Ultra
[2026-09-18 13:37:38] | Omarchy71/luci-app-aether | LuCI app + opkg package: Aether core (MASQUE/WireGuard/gool) with full-system TUN and Iran direct-routing for OpenWrt routers | https://github.com/Omarchy71/luci-app-aether
[2026-09-18 13:37:38] | side-effect-tm/usque-keenetic | Unofficial Cloudflare WARP client for Keenetic routers | https://github.com/side-effect-tm/usque-keenetic
[2026-09-18 13:37:38] | Mehrdad-esn/AetherST-Windows | AetherST Tunnel for Windows v1.7 — community port of PowerSigma AetherST (MASQUE/WireGuard/Gool, Psiphon chain, OpenVPN Hybrid) with native MSI installer | https://github.com/Mehrdad-esn/AetherST-Windows
[2026-09-18 13:37:38] | wesleychange-cmd/warp-masque-actions | GitHub Actions 自动生成 Cloudflare WARP (MASQUE) 密钥与 mihomo 配置，产物只存 artifact | https://github.com/wesleychange-cmd/warp-masque-actions
[2026-09-18 13:37:38] | DenMc55/Warp-Go-TV-Masque | TV-focused Cloudflare WARP client with MASQUE | https://github.com/DenMc55/Warp-Go-TV-Masque
[2026-09-18 13:37:38] | Diniboy1123/usque-rs | A decently fast, native tunnel using Cloudflare WARP and its MASQUE-based protocol for Linux. Built on top of Cloudflare's quiche library. | https://github.com/Diniboy1123/usque-rs
[2026-09-18 13:37:38] | Devtahas/RedCloud-windows | Next-Gen Anti-Censorship Client for Windows (Flutter & Rust). Features Hybrid MASQUE H3, Sing-box 1.13, Hysteria 2, VLESS Reality, TUN Mode & Cloudflare Scanner. | https://github.com/Devtahas/RedCloud-windows
[2026-09-18 13:37:38] | juerson/cfwarp-converter | cfwarp转换工具集，将 Cloudflare WARP 官方的 WireGuard 和 Masque 协议接口转换到第三方代理软件中使用，覆盖xray、sing-box、mihomo（clash.meta）三大内核；Masque协议，只支持mihomo（clash.meta）内核使用。 | https://github.com/juerson/cfwarp-converter
[2026-09-18 13:37:38] | persianray/usque-psiphon-usque-xray-ios | (无描述) | https://github.com/persianray/usque-psiphon-usque-xray-ios
[2026-09-18 13:37:38] | ArtixSx/RAZVILKA | Локальная панель управления обходами и маршрутами для Keenetic/Netcraze с Entware | https://github.com/ArtixSx/RAZVILKA
[2026-09-18 13:37:38] | velnox4827/saman-aether | Standalone Android frontend for Aether Core with local SOCKS5, MASQUE, WireGuard and GOOL. | https://github.com/velnox4827/saman-aether
[2026-09-18 13:37:38] | nhubaotruong/usque-proxy | (无描述) | https://github.com/nhubaotruong/usque-proxy
[2026-09-18 13:37:38] | redeyehare/warp-masque-actions | (无描述) | https://github.com/redeyehare/warp-masque-actions
[2026-09-18 13:37:38] | ircfspace/masque-plus | A simple Go launcher for usque that handles registration, configuration, and running a SOCKS proxy. Designed for Cloudflare MASQUE protocol usage. | https://github.com/ircfspace/masque-plus
[2026-09-18 13:37:38] | lxy5128537/warp-masque-actions | GitHub Actions auto-generate Cloudflare WARP MASQUE keys + mihomo config (replicated) | https://github.com/lxy5128537/warp-masque-actions
[2026-09-18 13:37:38] | HynoR/uscf | A third-party SOCKS5 proxy for Cloudflare WARP via the MASQUE/WireGuard protocol, based on usque. | https://github.com/HynoR/uscf
[2026-09-18 13:37:38] | bayueqi/ZQ-WARP | GitHub Actions 自动生成 Cloudflare WARP (MASQUE) 密钥与 mihomo 配置，产物只存 artifact | https://github.com/bayueqi/ZQ-WARP
[2026-09-18 13:37:38] | narci2018/narci-warp-masque-actions | (无描述) | https://github.com/narci2018/narci-warp-masque-actions
[2026-09-18 13:37:38] | BlizzardSaber/zerotrust-warp-masque | (无描述) | https://github.com/BlizzardSaber/zerotrust-warp-masque
[2026-09-18 13:37:38] | bobvane/BobWarpMasque | (无描述) | https://github.com/bobvane/BobWarpMasque
[2026-09-18 13:37:38] | vampywiz17/usque-rs-bsd | (无描述) | https://github.com/vampywiz17/usque-rs-bsd
[2026-09-18 13:37:38] | 8DE4732A/usque-android | (无描述) | https://github.com/8DE4732A/usque-android
[2026-09-18 13:37:38] | saeedmasoudie/pywarp | Pywarp is a powerful replacement for the official Cloudflare WARP app, offering an intuitive UI and extended options, including advanced DNS settings, custom endpoints, and support for change protocols like masque and WireGuard. | https://github.com/saeedmasoudie/pywarp
[2026-09-18 13:37:38] | garthnet/usque-android-app | (无描述) | https://github.com/garthnet/usque-android-app
[2026-09-18 13:37:38] | iK3sI3hG6d/usque-custom | usque-custom | https://github.com/iK3sI3hG6d/usque-custom
[2026-09-18 13:37:38] | wanwushequ/usque-up | (无描述) | https://github.com/wanwushequ/usque-up
[2026-09-18 13:37:38] | RisesunStudios/warp-masque-actions | (无描述) | https://github.com/RisesunStudios/warp-masque-actions
[2026-09-18 13:37:38] | sunshangs/warp-masque-actions | (无描述) | https://github.com/sunshangs/warp-masque-actions
[2026-09-18 13:37:38] | KxK3lv1n/usque-shadowrocket-clashmi-converter | (无描述) | https://github.com/KxK3lv1n/usque-shadowrocket-clashmi-converter
[2026-09-18 13:37:38] | Kamanreza/AetherST-Windows | Advanced Multi-Protocol VPN Client for Windows (MASQUE, WireGuard, Gool, Zero Trust) - Python Desktop Implementation | https://github.com/Kamanreza/AetherST-Windows
[2026-09-18 13:37:38] | ZSWWaite/warp-actions | GitHub Actions 自动生成 Cloudflare WARP (MASQUE) 密钥与 mihomo 配置，产物只存 artifact | https://github.com/ZSWWaite/warp-actions
[2026-09-18 13:37:38] | vomw/Diniboy1123-usque-rs | (无描述) | https://github.com/vomw/Diniboy1123-usque-rs
[2026-09-18 13:37:38] | Lin00700/.github-workflows-warp-masque.yml | (无描述) | https://github.com/Lin00700/.github-workflows-warp-masque.yml
[2026-09-18 13:37:38] | najishab/Aether | Fast, privacy-first Android & Android TV VPN client powered by the Aether engine. Defeats DPI censorship using Smart routing, MASQUE (H2/H3), WireGuard, and Gool with anti-censorship obfuscation and built-in WARP endpoint scanner. No logs, no ads. | https://github.com/najishab/Aether
[2026-09-18 13:37:38] | wanwushequ/Masque-Extension-Pack | MASQUE扩展包 / Cloudflare WARP PC端分流方案 | https://github.com/wanwushequ/Masque-Extension-Pack
[2026-09-18 13:37:38] | hand-stacker/USQuery | USQuery is a web application designed to provide users with easy access to congressional data, including bills and votes. | https://github.com/hand-stacker/USQuery
[2026-09-18 13:37:38] | jerbehe/usque-admin | 在设备上部署 Cloudflar warp 代理池 | https://github.com/jerbehe/usque-admin
[2026-09-18 13:37:38] | justinwoo280/usquebox | (无描述) | https://github.com/justinwoo280/usquebox
[2026-09-18 13:37:38] | ircfspace/endpoint | Suggested Endpoints for Warp & Masque | https://github.com/ircfspace/endpoint
[2026-09-18 13:37:38] | hand-stacker/USQueryMobile | Code for a react native mobile application. | https://github.com/hand-stacker/USQueryMobile
[2026-09-18 13:37:38] | BloodWolfik/warpscout-GUI | (无描述) | https://github.com/BloodWolfik/warpscout-GUI
[2026-09-18 13:37:38] | vampywiz17/os-usque-repo | Signed FreeBSD pkg repository for os-usque on OPNsense | https://github.com/vampywiz17/os-usque-repo
[2026-09-18 13:37:38] | spr-networks/spr-usque | Linux-native Cloudflare WARP forwarding gateway plugin for SPR | https://github.com/spr-networks/spr-usque
[2026-09-18 13:37:38] | vampywiz17/os-usque | (无描述) | https://github.com/vampywiz17/os-usque
[2026-09-18 13:37:38] | justinwoo280/usque | (无描述) | https://github.com/justinwoo280/usque
[2026-09-18 13:37:38] | SuperNG6/docker-usque | Open-source reimplementation of the Cloudflare WARP client's MASQUE protocol. | https://github.com/SuperNG6/docker-usque
[2026-09-18 13:37:38] | Diniboy1123/wasque | Lightweight, unofficial Docker container for the official Cloudflare WARP Linux CLI client. Easily expose a SOCKS5 proxy from within a container—no elevated privileges required! | https://github.com/Diniboy1123/wasque
[2026-09-18 13:37:38] | exxojay/usque-android-app-ru-test | (无描述) | https://github.com/exxojay/usque-android-app-ru-test
[2026-09-18 13:37:38] | wddxg/usque-openwrt-mipsle-softfloat | Usque soft-float build for MIPSLE OpenWrt | https://github.com/wddxg/usque-openwrt-mipsle-softfloat
[2026-09-18 13:37:38] | Animeblin1/usquedash | WARP (usque/MASQUE) + ByeDPI + веб-дашборд для OpenWrt-роутеров. Установка одной командой, импорт Clash-конфига с warp-gen.github.io | https://github.com/Animeblin1/usquedash
[2026-09-18 13:37:38] | Alukard-X/usque-openwrt | (无描述) | https://github.com/Alukard-X/usque-openwrt
[2026-09-18 13:37:38] | vomw/Diniboy1123-usque | (无描述) | https://github.com/vomw/Diniboy1123-usque
[2026-09-18 13:37:38] | YonQua/warp-socks | Single-container Cloudflare WARP SOCKS5/SOCKS4/HTTP proxy — MASQUE by default, WireGuard via Teams token as fallback | https://github.com/YonQua/warp-socks
[2026-09-18 13:37:38] | masx200/usque-android | https://github.com/Abobo7/usque-android | https://github.com/masx200/usque-android
[2026-09-18 13:37:38] | ItzHosseinYc/Revenant | Revenant — VPN panel that reroutes around dead networks. One-click auto mode, or dig into MASQUE/WireGuard/WARP-in-WARP, live scan progress, and self-healing reconnect. Windows-ready, source-buildable everywhere else. | https://github.com/ItzHosseinYc/Revenant
[2026-09-18 13:37:38] | Alukard-X/usque-keenetic | Usque Auto-Installer for Keenetic | https://github.com/Alukard-X/usque-keenetic
[2026-09-18 13:37:38] | UnboundTechCo/DXcore | DXcore, a proprietary and closed core designed to protect users from censorship and network restrictions, powers advanced VPN capabilities in DefyxVPN, a fully open-source client developed with Flutter. | https://github.com/UnboundTechCo/DXcore
[2026-09-18 13:37:38] | lengyuesky/usque-auto | 使用 usque nativetun 接管 Linux 出站流量，保留原入站出口并支持纯 IPv6 | https://github.com/lengyuesky/usque-auto
[2026-09-18 13:37:38] | obrige/usque | (无描述) | https://github.com/obrige/usque
[2026-09-18 13:37:38] | Brotal-LLC/warp | Cloudflare WARP MASQUE proxy stack with Cloudflare WARP + Xray | https://github.com/Brotal-LLC/warp
[2026-09-18 13:37:38] | 6Kmfi6HP/warp-reg-gw | Auto-register Cloudflare WARP MASQUE devices, scan fastest QUIC endpoints, and generate mihomo / Clash.Meta proxy configs. Written in Go. | https://github.com/6Kmfi6HP/warp-reg-gw
[2026-09-18 13:37:38] | akumaginkou/warpterm | Cross-platform terminal emulator with Cloudflare WARP built in (embeds warp-masque). Tauri + xterm.js. | https://github.com/akumaginkou/warpterm
[2026-09-18 13:37:38] | akumaginkou/warp-proxy | Clean-room Rust client for Cloudflare WARP over MASQUE (CONNECT-IP): registration, HTTP/3 tunnel, smoltcp netstack, SOCKS5 proxy. Portable, no usque. | https://github.com/akumaginkou/warp-proxy
[2026-09-18 13:37:38] | qhkly/docker_warp-v2ray | Cloudflare WARP (MASQUE) + Xray in one container — official WARP client as egress, VMess/VLESS as front-end | https://github.com/qhkly/docker_warp-v2ray
[2026-09-18 13:37:38] | zhyyai/v2rayN-cli-cores | v2rayN fork with EasyTier / usque / NetBird as custom cores | https://github.com/zhyyai/v2rayN-cli-cores
[2026-09-18 13:37:38] | Angels-Ray/usque_pool_release | (无描述) | https://github.com/Angels-Ray/usque_pool_release
[2026-09-18 13:37:38] | surendrajat/cfwarpd | Cloudflare WARP tunnel with custom DNS (macOS) | https://github.com/surendrajat/cfwarpd
[2026-09-18 13:37:38] | ChickenIQ/usque-router | (无描述) | https://github.com/ChickenIQ/usque-router
[2026-09-18 13:37:38] | Joseph-ink/usque-easy | 一键启用Warp ，使用 Usque 项目第三方 Masque 协议实现。支持IPv6 only 机型。 | https://github.com/Joseph-ink/usque-easy
[2026-09-18 13:37:38] | aendryn/cf-masque-opnsense | Cloudflare Zero Trust VPN plugin for OPNsense | https://github.com/aendryn/cf-masque-opnsense
[2026-09-18 13:37:38] | narinishi/platypus-vortex | Demonstration of Warp serving with Java. Suggest to generate config with usque, then run with --provider warp --warp true | https://github.com/narinishi/platypus-vortex
[2026-09-18 13:37:38] | 9bingyin/usque-rs | (无描述) | https://github.com/9bingyin/usque-rs
[2026-09-18 13:37:38] | Skiro1/warp-masque-tun | Утилита для запуска Cloudflare WARP (MASQUE) через usque с опциональным TUN-прокси через sing-box. | https://github.com/Skiro1/warp-masque-tun
[2026-09-18 13:37:38] | akumaginkou/warp-masque | Cloudflare WARP as a SOCKS5/HTTP proxy spoken over MASQUE/HTTP3 | https://github.com/akumaginkou/warp-masque
[2026-09-18 13:37:38] | imanbarati/pywarp | Pywarp is a powerful replacement for the official Cloudflare WARP app, offering an intuitive UI and extended options, including advanced DNS settings, custom endpoints, and support for change protocols like masque and WireGuard. | https://github.com/imanbarati/pywarp
[2026-09-18 13:37:38] | SAMYJ1/usque-warp-socks | (无描述) | https://github.com/SAMYJ1/usque-warp-socks
[2026-09-18 13:37:38] | sidhantr30/usquest | Explore the 50 states — geography, history, quizzes. Sibling app to GlobeQuest. | https://github.com/sidhantr30/usquest
[2026-09-18 13:37:38] | 4n0n4/cloudflare_warp_masque_registrar | A small Python CLI script for registering and re‑registering devices in Cloudflare WARP (MASQUE mode) and retrieving the corresponding account configuration. | https://github.com/4n0n4/cloudflare_warp_masque_registrar
[2026-09-18 13:37:38] | zv201413/usque-CF-Zero-Trust | (无描述) | https://github.com/zv201413/usque-CF-Zero-Trust
[2026-09-18 13:37:38] | usquen101/usquen101.githup.io | (无描述) | https://github.com/usquen101/usquen101.githup.io
[2026-09-18 13:37:38] | masx200/usque | https://github.com/Diniboy1123/usque | https://github.com/masx200/usque
[2026-09-18 13:37:38] | masx200/warp-usque-windows-guide | warp-usque-windows-guide | https://github.com/masx200/warp-usque-windows-guide
[2026-09-18 13:37:38] | masx200/warp-usque-windows-guide-http2 | (无描述) | https://github.com/masx200/warp-usque-windows-guide-http2
[2026-09-18 13:37:38] | masx200/usque-wiki | https://github.com/Diniboy1123/usque.wiki.git | https://github.com/masx200/usque-wiki
[2026-09-18 13:37:38] | Z-Minho/-warp-masque- | 官方warp自动设置masque端点 | https://github.com/Z-Minho/-warp-masque-
[2026-09-18 13:37:38] | jorgesoobrinho/repo-1759133530909-7 | Repository #7: Crur clam usque cauda delectus sustineo ipsam dens arto arto. | https://github.com/jorgesoobrinho/repo-1759133530909-7
[2026-09-18 13:37:38] | hand-stacker/USQuery_Vote_Model | This is a repo of some of the notebooks, files, data, and models I have trained. | https://github.com/hand-stacker/USQuery_Vote_Model
[2026-09-18 13:37:38] | npnaw/usque-wrapper | (无描述) | https://github.com/npnaw/usque-wrapper
[2026-09-18 13:37:38] | Antoinebr/warp-latency-benchmark | Shell script to benchmark network latency with/without Cloudflare WARP (MASQUE vs WireGuard) | https://github.com/Antoinebr/warp-latency-benchmark
[2026-09-18 13:37:38] | tazdev-ops/gnasque | One-click MASQUE-in-MASQUE (outer usque + sing-box TUN + inner usque) with a minimal GUI | https://github.com/tazdev-ops/gnasque
[2026-09-18 13:37:38] | 9bingyin/usque-docker | (无描述) | https://github.com/9bingyin/usque-docker
[2026-09-18 13:37:38] | Exclorn/usque-launcher | (无描述) | https://github.com/Exclorn/usque-launcher
[2026-09-18 13:37:38] | Q3dlaXpoaQ/Easywarp-MASQUE | 自动切换cloudflare warp节点的工具，实现一行指令科学上网，通过Cloudflare Warp连接 | https://github.com/Q3dlaXpoaQ/Easywarp-MASQUE
[2026-09-18 13:37:38] | teddy92729/cloudflare-warp-masque | (无描述) | https://github.com/teddy92729/cloudflare-warp-masque
[2026-09-18 13:37:38] | loop333/cloudflare_warp_masque_proxy | Cloudflare WARP MASQUE Proxy In Docker | https://github.com/loop333/cloudflare_warp_masque_proxy
